frame,u_r,u_r_norm,motion,recon_mse,recon_psnr,high_residual
0,0.040885355323553085,40.885355323553085,0.001,0.0001035970271914266,39.84652757644653,1
1,0.04453989490866661,0.31344166829031556,0.14209946990013123,0.00011908257874893025,39.24151659011841,1
2,0.03698575124144554,0.1144674961830667,0.3231113851070404,0.00012428866466507316,39.055683612823486,1
3,0.03495123237371445,0.12952018494667641,0.2698516249656677,0.00012571619299706072,39.00608777999878,1
4,0.038785144686698914,0.12703725811655114,0.30530527234077454,0.00012279525981284678,39.10818338394165,1
5,0.030382195487618446,0.09989317621178828,0.3041468560695648,0.00010840786126209423,39.649391174316406,1
6,0.03110196441411972,0.09619815381472811,0.323311448097229,0.0001234664086950943,39.084510803222656,1
7,0.021385647356510162,0.058156605714538574,0.3677251636981964,8.933704521041363e-05,40.48968315124512,0
8,0.033905912190675735,0.0733431050551585,0.46229174733161926,7.385241042356938e-05,41.316351890563965,1
9,0.029225066304206848,0.06973129469622036,0.4191097617149353,7.098431524354964e-05,41.488375663757324,0
10,0.02407231368124485,0.07161597561875215,0.3361304998397827,5.461371983983554e-05,42.62698173522949,0
11,0.01937367394566536,0.06184159731747803,0.31327900290489197,6.0667662182822824e-05,42.17042922973633,0
12,0.025706760585308075,0.09068779150936127,0.2834644019603729,6.326919537968934e-05,41.98807716369629,0
13,0.03425303101539612,0.11580116119444339,0.29579177498817444,6.933340046089143e-05,41.590576171875,1
14,0.03178604319691658,0.11518570647135025,0.2759547531604767,7.563494727946818e-05,41.21277332305908,1
15,0.022043263539671898,0.08586621682773057,0.25671637058258057,7.535654003731906e-05,41.228790283203125,0
16,0.026944778859615326,0.12273636476989937,0.2195337861776352,8.993162191472948e-05,40.460877418518066,0
17,0.02558363415300846,0.1664163756775946,0.15373267233371735,8.968908514361829e-05,40.47260284423828,0
18,0.027166984975337982,0.3037546358246751,0.08943726867437363,8.757722389418632e-05,40.57608604431152,0
19,0.026771889999508858,0.22150596604628564,0.12086306512355804,8.360878564417362e-05,40.777482986450195,0
20,0.024122027680277824,0.1320039995012753,0.1827370971441269,8.08318072813563e-05,40.924177169799805,0
21,0.025984320789575577,0.11867430275935828,0.2189549058675766,7.348249346250668e-05,41.338162422180176,0
22,0.042590778321027756,0.16880075298981248,0.25231391191482544,7.39300376153551e-05,41.31178855895996,1
23,0.028948960825800896,0.06790931917856065,0.4262884855270386,6.630128336837515e-05,41.78478240966797,0
