magnitude,mean,ci_low,ci_high,n
0.1,0.0025794858622248283,0.001955200022312056,0.003201719159114873,20
0.15,0.002604607879766263,0.00200975727304467,0.0032070128725899846,20
0.2,0.0023860028013587,0.0018051464002928701,0.0029723143907176564,20
0.3,0.0027734253060771154,0.0021036953235307014,0.003494521682005142,20
0.5,0.002542479007388465,0.001880419764420367,0.003245453744457336,20
0.7,0.0027838332433020698,0.002076067814487033,0.0035219359464826994,20
0.85,0.002368003726587631,0.001823372063372517,0.0029039775063574775,20
1.0,0.0022664208256173877,0.0017297252035496059,0.002847258960609906,20
1.1,0.00264843704062514,0.0019201059303304649,0.0034370954740734305,20
1.2,0.00248065555060748,0.0019343256045249292,0.0030370259590563366,20
1.35,0.0023925619752844796,0.0018281377554376377,0.0030190900953311938,20
1.5,0.002465728233801201,0.0018275426860054724,0.003205977896723198,20
1.7,0.002540810397476889,0.0018716291233431548,0.0032454629716812625,20
