magnitude,mean,ci_low,ci_high,n
0.1,0.00011890667065017624,9.064357036550064e-05,0.0001501271322968023,20
0.15,0.00011434893458499573,9.668045165199146e-05,0.00013477525648340814,20
0.2,0.0001126149998526671,8.607151756223174e-05,0.0001420109059790775,20
0.3,9.543582609694568e-05,6.93022455538994e-05,0.00012508529180422552,20
0.5,8.746313715164433e-05,6.614088306378109e-05,0.00011052838322711978,20
0.7,8.977535285339399e-05,6.265258619237102e-05,0.00011912686841583307,20
0.85,7.94985305674345e-05,5.688256316375374e-05,0.00010456708045239792,20
1.0,9.183794118143851e-05,7.251932831422891e-05,0.00011167029038460896,20
1.1,8.64714458657545e-05,6.59621428076207e-05,0.00010686389751299427,20
1.2,7.323031391024415e-05,5.3622794174543744e-05,9.404678987607439e-05,20
1.35,9.14976034891879e-05,6.410064150031759e-05,0.00012067477716755094,20
1.5,7.044710159789246e-05,4.7627616613681315e-05,9.824129892422206e-05,20
1.7,7.982158631421043e-05,6.081909158410781e-05,0.00010090085536148763,20
