split,loss_100h,loss_1000h,loss_5000h,loss_20000h,loss_100000h,robot_5000h,baseline_inferred,a,b
Seen,0.008,0.0072,0.0067,0.0062,0.0057,0.0071,0.0103,0.00953,0.000332
Unseen,0.0234,0.0216,0.0204,0.0193,0.0181,0.0254,0.0268,0.026932,0.000767
