episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,29.162879432043876,0.9465218511494723,0.02679155222281362
episode_0000,1,16,33,25.85345795433428,0.9302725015264569,0.048944700114203224
episode_0000,2,32,33,26.12079206611102,0.9344342098091588,0.0361711399657934
episode_0000,3,48,33,29.78592924111257,0.9625663739262205,0.017278975031028192
episode_0000,4,64,33,27.97231508645821,0.951719733801755,0.021845462393354286
episode_0000,5,80,33,32.917912790699255,0.9695663903698777,0.01176811664393454
episode_0000,6,96,33,31.88014554647368,0.966149243441495,0.013112510314606356
episode_0000,7,112,33,28.745230263705345,0.9497496106407859,0.0264621395194395
episode_0000,8,128,33,31.938946299172308,0.9709340496496721,0.012309832343210777
episode_0001,0,0,33,28.23465621596034,0.9439820863983848,0.026300379780657364
episode_0001,1,16,33,28.596457745713963,0.9519216671134486,0.02406587690171419
episode_0001,2,32,33,24.4019842816823,0.9290098909175757,0.04616641589073521
episode_0001,3,48,33,29.489985706862633,0.95437030358748,0.018284692513671787
episode_0001,4,64,33,26.52472314701654,0.9317317261840358,0.041323820566476294
episode_0001,5,80,33,29.09624477290607,0.9386209646860758,0.02950305789426872
episode_0001,6,96,33,26.26293491498807,0.9208133545788851,0.04771228562193838
episode_0001,7,112,33,24.811858982356405,0.9114932616551717,0.04069472657460155
episode_0001,8,128,33,25.496359782828062,0.914940463774132,0.036766815704829765
episode_0001,9,144,33,29.836600837931165,0.9648976705291055,0.016128043615908333
average,,,33,28.269969214124,0.9444050186178522,0.02850687071648345
