episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,27.616861724190844,0.9428586436040474,0.0272729094845779
episode_0000,1,16,33,30.376568112056454,0.9614804874766957,0.016752423563351233
episode_0000,2,32,33,29.445254483142264,0.9573639324217131,0.019739927498228622
episode_0000,3,48,33,26.49620653404081,0.9417445533203356,0.0327037058657769
episode_0000,4,64,33,25.974405152708208,0.9418895714210741,0.023784393613988705
episode_0000,5,80,33,27.58691780295914,0.9490178100990526,0.01844986952897726
episode_0000,6,96,33,27.637444127354968,0.9413647434928201,0.034272629993431496
episode_0000,7,112,33,22.16545453380467,0.9052901737617723,0.06485899769221291
episode_0000,8,128,33,30.287226872355888,0.9638975082021771,0.017040214501321316
episode_0001,0,0,33,28.677282846839393,0.9379015402360396,0.031511458652940666
episode_0001,1,16,33,29.45517243434433,0.9514490311796014,0.019610840037013546
episode_0001,2,32,33,30.628009582277457,0.9537976546721025,0.018576399931176144
episode_0001,3,48,33,30.789472417013478,0.9560755075830402,0.016370439506841427
episode_0001,4,64,33,30.316102214269474,0.9551354971798983,0.017229734948187164
episode_0001,5,80,33,28.954184301255992,0.9457448106823545,0.020399156619202007
episode_0001,6,96,33,27.76176084792587,0.9364500172210463,0.026220591767041973
episode_0001,7,112,33,28.18054227833059,0.9416047569477197,0.022178823071898834
episode_0001,8,128,33,27.672468388366582,0.942436032222979,0.021234196638970665
episode_0001,9,144,33,31.273496977873638,0.9670611619949341,0.015113046138801357
average,,,33,28.489201664795264,0.9469770228273371,0.02438525047652317
