episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,26.56516418890727,0.9303311109542847,0.04234670983119444
episode_0000,1,16,33,25.490572605002818,0.9261453260074962,0.055523240571898044
episode_0000,2,32,33,26.385887589251162,0.9348801338311398,0.03523013047930418
episode_0000,3,48,33,30.232327495496808,0.9649298281380625,0.01558612556563634
episode_0000,4,64,33,28.02857195979769,0.9497064659089753,0.025180354968390682
episode_0000,5,80,33,32.71456548969987,0.9690499829523491,0.011737038677727634
episode_0000,6,96,33,30.959110505607928,0.9620135805823586,0.016371577907579416
episode_0000,7,112,33,28.775731990056556,0.9490340008880153,0.02793541999364441
episode_0000,8,128,33,32.08710336744559,0.971406896909078,0.012276177449772755
episode_0001,0,0,33,24.461604757516078,0.9204255053491304,0.05749555619320634
episode_0001,1,16,33,28.605465766968813,0.9521081285043196,0.02516357092694803
episode_0001,2,32,33,23.97042794205709,0.9257567561034,0.04936581982694792
episode_0001,3,48,33,28.70218752320327,0.9469907464403094,0.024026630954308945
episode_0001,4,64,33,26.696023337912873,0.9324261726755084,0.04085287196335919
episode_0001,5,80,33,26.985442293182427,0.9286661238381357,0.036779932169751686
episode_0001,6,96,33,27.43690295348767,0.9344449494824265,0.02647331500933929
episode_0001,7,112,33,25.261898221729542,0.9160862601164615,0.036878664131191646
episode_0001,8,128,33,25.775301208913056,0.9183792020335342,0.03376393322127335
episode_0001,9,144,33,29.42712762282706,0.9653301979556228,0.01648190933646578
average,,,33,27.81902193784545,0.9420058615089794,0.031024683114628426
