episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,28.711984441310104,0.9446412469401504,0.02868309442066785
episode_0000,1,16,33,25.89127923814387,0.9300738374392191,0.047306014083777416
episode_0000,2,32,33,26.226347495338423,0.9340209401015079,0.03700960802873879
episode_0000,3,48,33,30.20623377244616,0.9645264636386525,0.015857792713425377
episode_0000,4,64,33,28.796927156882226,0.9529176571152427,0.020774315153671938
episode_0000,5,80,33,32.95294386097075,0.9698818109252236,0.011679365666526737
episode_0000,6,96,33,31.380102813582937,0.9640974709481904,0.014731811063194817
episode_0000,7,112,33,28.624722371294368,0.9489183082725062,0.02811282379270503
episode_0000,8,128,33,32.28809049795485,0.9723189346718065,0.0127628595483574
episode_0001,0,0,33,28.1517472665722,0.9423678806333831,0.027385361732519937
episode_0001,1,16,33,28.64624720934102,0.9523054867079763,0.024010131587133263
episode_0001,2,32,33,24.951031808748517,0.9329411062327299,0.03992381048473445
episode_0001,3,48,33,29.412373813726454,0.9531231486436093,0.018640221378794224
episode_0001,4,64,33,27.02363298540876,0.9348592126008236,0.03637413375756957
episode_0001,5,80,33,28.55434373172631,0.9340146075595509,0.03315522451179497
episode_0001,6,96,33,26.33090439655898,0.9207079880165331,0.04540219785871379
episode_0001,7,112,33,24.480687217638,0.9084160075043187,0.042665634022066086
episode_0001,8,128,33,26.4356994163658,0.924067497253418,0.030373221630174103
episode_0001,9,144,33,29.63163002081114,0.9654045827461012,0.016238280289778202
average,,,33,28.352469974464253,0.9447160098921549,0.02795188956443916
