episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,23.75390742170958,0.9284739404013662,0.06210277740363822
episode_0000,1,16,33,29.853598468163945,0.959750664956642,0.018298137269801264
episode_0000,2,32,33,29.20051374640836,0.9558573581955649,0.02162745909652475
episode_0000,3,48,33,26.779824121052417,0.9416358868281046,0.034525678126197876
episode_0000,4,64,33,25.642687201821616,0.9385726126757535,0.025245054512087143
episode_0000,5,80,33,28.26721307833071,0.9531272884571191,0.017246442480069218
episode_0000,6,96,33,28.742836755475953,0.9519331382982659,0.0238669413762788
episode_0000,7,112,33,22.335760050831862,0.9078608353932699,0.06199668599010417
episode_0000,8,128,33,29.827948958575515,0.9622654084003333,0.017301727340302685
episode_0001,0,0,33,23.367612635958373,0.9132157889279452,0.07874520551977736
episode_0001,1,16,33,28.89557013506652,0.9476128383116289,0.021825661374764008
episode_0001,2,32,33,27.242841247482133,0.9326876672831449,0.030171596134702366
episode_0001,3,48,33,31.12705535356117,0.9561712904409929,0.016346606510606678
episode_0001,4,64,33,30.801375663710026,0.9568333806413593,0.016755822029980747
episode_0001,5,80,33,28.816910444255925,0.9441894690195719,0.021280074548540695
episode_0001,6,96,33,27.357645789070396,0.9339937477400808,0.02774234302341938
episode_0001,7,112,33,27.93454340769011,0.9389358325438066,0.02302595628707698
episode_0001,8,128,33,27.365905617793622,0.9404350085691973,0.02221219887900533
episode_0001,9,144,33,31.46446661318715,0.9641855124271277,0.014752581010036396
average,,,33,27.830432458428703,0.9435651405005934,0.029214155205942848
