episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,27.331241905517256,0.9410703254468513,0.028719912607674345
episode_0000,1,16,33,29.94871148588834,0.9599223678762262,0.017730141651224007
episode_0000,2,32,33,29.36487176336618,0.9572158491972721,0.020130372704994497
episode_0000,3,48,33,26.411675516679615,0.9407205093990673,0.03472949012718869
episode_0000,4,64,33,25.941726484703327,0.9419072053649209,0.024397290057756683
episode_0000,5,80,33,27.67781410925869,0.949550930297736,0.018110338810153982
episode_0000,6,96,33,27.861482414916008,0.9424094810630336,0.03328556978059086
episode_0000,7,112,33,22.158319891217236,0.9047236135511687,0.0648019772700288
episode_0000,8,128,33,29.998736669995004,0.9624397863041271,0.01733674521021771
episode_0001,0,0,33,28.325064535225845,0.9336621002717451,0.03423387108539993
episode_0001,1,16,33,29.19135861767054,0.9500702655676639,0.020301120807275627
episode_0001,2,32,33,30.332199680999683,0.9517800916324962,0.01876297579005812
episode_0001,3,48,33,31.965416113987025,0.9605370290351637,0.014820234511386265
episode_0001,4,64,33,30.783818014972024,0.9567975185134194,0.016462802407190655
episode_0001,5,80,33,29.47227829765594,0.9483175187399893,0.01949310548264872
episode_0001,6,96,33,27.943074446506408,0.9372812238606539,0.025179155932908707
episode_0001,7,112,33,28.663463813459163,0.9435649821252534,0.021078818985684353
episode_0001,8,128,33,28.308389458020276,0.9458923502401873,0.020158978207319073
episode_0001,9,144,33,30.871584015697863,0.9651217153578093,0.015554102589235161
average,,,33,28.555327749249283,0.9469992033602517,0.02448878968520717
