episode,segment_index,start_frame,num_frames_eval,psnr,ssim,lpips
episode_0000,0,0,33,31.270067136054752,0.9690099864295034,0.01374136418047728
episode_0000,1,16,33,28.252615262835864,0.9570550214160572,0.017906640924400453
episode_0000,2,32,33,28.380564895325975,0.9596960074973829,0.01922826251635949
episode_0000,3,48,33,27.48586301406027,0.952857772509257,0.023331068625504322
episode_0000,4,64,33,29.18697696098258,0.9615703189011776,0.023392021881811546
episode_0000,5,80,33,30.031741036050388,0.9629244912754406,0.019478310576894066
episode_0000,6,96,33,28.378158741589864,0.958730116034999,0.015878036025572907
episode_0000,7,112,33,27.86977653702573,0.9570275689616348,0.016376211632494673
episode_0000,8,128,33,26.80725112558316,0.951635479927063,0.021101350557397713
episode_0000,9,144,33,25.185110249138855,0.9408079385757446,0.026029804284035257
episode_0000,10,160,33,28.27114946968441,0.956669088565942,0.016521166995957945
episode_0000,11,176,33,28.491836850758148,0.9576019391869054,0.015761298028695764
episode_0000,12,192,33,28.833002260905413,0.9583965630242319,0.02128324331715703
episode_0000,13,208,33,24.53757046355618,0.9354020537752094,0.04873860995708541
episode_0000,14,224,33,23.78670251008154,0.9300059098185915,0.039325400410840906
episode_0000,15,240,33,26.6756526386931,0.9487579103672144,0.022648826707154512
episode_0000,16,256,33,28.883577273770566,0.9627930431654959,0.01554567495248083
average,,,33,27.783977436829225,0.9541730123195208,0.0221345465631953
