block,action,fx,fy,expansion,agree,expansion_rel
505,W,0.2425,0.5813,1.1081,nan,1.0413
506,W,0.2912,0.6397,1.1951,nan,1.1230
507,W,0.1950,0.6059,1.1388,nan,1.0701
508,W,0.2789,0.7050,1.2755,nan,1.1986
509,W,0.2382,0.6771,1.2534,nan,1.1779
510,W,0.2086,0.6902,1.2460,nan,1.1708
511,W,0.6369,0.8339,1.5411,nan,1.4482
512,J,1.8885,0.9196,1.6127,1.0,1.5154
513,J,1.8434,0.5131,1.2276,1.0,1.1536
514,J,1.6580,0.2004,0.9609,1.0,0.9030
515,J,1.5691,0.1123,0.5403,1.0,0.5077
516,J,1.6910,0.1206,0.2731,1.0,0.2567
517,J,1.8944,0.0859,-0.0496,1.0,-0.0466
518,J,2.0748,0.0443,-0.1947,1.0,-0.1830
519,J,1.6643,0.0154,-0.0469,1.0,-0.0441
520,W,0.1081,0.3846,0.7666,nan,0.7204
521,W,0.3586,0.8687,1.4786,nan,1.3894
522,W,0.5276,1.1321,1.7657,nan,1.6592
523,W,0.2489,0.8407,1.5466,nan,1.4533
524,W,0.2039,0.9800,1.6842,nan,1.5827
525,W,0.0615,0.8151,1.3717,nan,1.2890
526,W,0.0505,0.8982,1.4890,nan,1.3993
527,W,-0.1754,0.8805,1.5576,nan,1.4637
528,L,-1.1631,0.2521,0.4659,1.0,0.4378
529,L,-1.3371,0.0390,0.1788,1.0,0.1680
530,L,-1.3390,0.0008,0.1806,1.0,0.1697
531,L,-1.3489,0.0115,0.0567,1.0,0.0533
532,L,-1.1861,-0.0117,-0.0457,1.0,-0.0429
533,L,-1.1818,0.0012,-0.1152,1.0,-0.1082
534,L,-1.1940,-0.0007,-0.1057,1.0,-0.0994
535,L,-0.9367,0.0034,-0.0202,1.0,-0.0190
536,W,0.1782,0.4345,0.7260,nan,0.6822
537,W,0.2199,0.6945,1.0878,nan,1.0222
538,W,0.2424,0.7159,1.1340,nan,1.0656
539,W,0.2422,0.8478,1.2895,nan,1.2117
540,W,0.2448,0.8466,1.3380,nan,1.2573
541,W,0.2133,0.8620,1.5081,nan,1.4172
542,W,0.2048,0.7479,2.0796,nan,1.9542
543,W,1.1375,-0.0693,0.0464,nan,0.0436
544,J,2.1285,-0.1348,-0.1669,1.0,-0.1568
545,J,1.7915,-0.0418,-0.2697,1.0,-0.2534
546,J,1.7093,-0.0244,-0.3187,1.0,-0.2995
547,J,1.7369,-0.0324,-0.3846,1.0,-0.3614
548,J,1.5103,0.0011,-0.7326,1.0,-0.6885
549,J,1.0520,-0.0077,-1.1761,1.0,-1.1052
550,J,0.7416,0.0745,-0.5426,1.0,-0.5099
551,J,0.4792,-0.0149,-0.4156,1.0,-0.3906
552,W,0.3519,0.8484,1.3301,nan,1.2499
553,W,0.3015,1.5449,1.5970,nan,1.5007
554,W,0.2130,1.5515,1.9565,nan,1.8385
555,W,0.3022,1.7589,2.1527,nan,2.0229
556,W,-0.1181,1.7592,1.8446,nan,1.7334
557,W,-0.0451,0.9916,1.5723,nan,1.4775
558,W,0.0962,1.2114,1.6561,nan,1.5563
559,W,-0.4254,1.1460,1.6788,nan,1.5776
560,L,-1.8309,0.2340,0.4149,1.0,0.3899
561,L,-1.7965,0.0315,0.1411,1.0,0.1326
562,L,-1.5681,0.0212,0.0945,1.0,0.0888
563,L,-1.4056,0.0257,0.0776,1.0,0.0730
564,L,-1.4310,0.0056,0.0496,1.0,0.0466
565,L,-1.4513,-0.0058,0.0777,1.0,0.0730
566,L,-1.4193,-0.0018,0.0984,1.0,0.0925
567,L,-0.9106,0.0118,0.0834,1.0,0.0784
568,W,0.0593,0.3618,0.5157,nan,0.4846
569,W,0.2012,0.7675,1.0685,nan,1.0041
570,W,0.1492,0.7881,1.0692,nan,1.0047
571,W,0.1553,0.8158,1.1267,nan,1.0588
572,W,0.1624,0.9082,1.2479,nan,1.1726
573,W,0.0806,0.8144,1.1317,nan,1.0635
574,W,0.1089,0.9347,1.2831,nan,1.2058
575,W,0.5194,0.8942,1.2078,nan,1.1350
576,J,2.0135,0.5713,0.7825,1.0,0.7353
577,J,1.9547,0.5452,0.8725,1.0,0.8199
578,J,1.8710,0.7766,1.2974,1.0,1.2192
579,J,1.8409,0.6561,1.0975,1.0,1.0314
580,J,1.9674,0.7169,1.0970,1.0,1.0308
581,J,1.7317,0.6688,0.8797,1.0,0.8266
582,J,1.8879,0.7281,1.0098,1.0,0.9489
583,J,1.6845,0.7555,1.1282,1.0,1.0602
584,W,0.1268,0.8156,1.1679,nan,1.0974
585,W,0.1260,0.7793,1.0713,nan,1.0067
586,W,0.1506,0.9473,1.2516,nan,1.1761
587,W,0.2143,1.1454,1.5546,nan,1.4608
588,W,0.1940,1.0087,1.3557,nan,1.2740
589,W,0.1672,0.9909,1.3444,nan,1.2634
590,W,0.1432,1.2231,1.6259,nan,1.5279
591,W,-0.1409,1.4809,1.8769,nan,1.7637
592,L,-1.0243,0.3715,0.4553,1.0,0.4279
593,L,-1.0246,0.1405,0.2003,1.0,0.1882
594,L,-1.0857,0.1299,0.2004,1.0,0.1883
595,L,-1.0648,0.1271,0.1234,1.0,0.1160
596,L,-0.9323,0.1361,0.0327,1.0,0.0307
597,L,-0.9452,0.1155,0.0069,1.0,0.0064
598,L,-0.8986,0.1167,-0.0586,1.0,-0.0551
599,L,-0.5550,0.1139,0.0114,1.0,0.0107
600,W,0.0930,0.4967,0.6820,nan,0.6409
601,W,0.0983,0.8036,1.0652,nan,1.0009
602,W,0.1952,0.9817,1.3391,nan,1.2584
603,W,0.1097,1.2034,1.6480,nan,1.5487
604,W,-0.0698,1.0890,1.4915,nan,1.4016
605,W,0.1639,1.2698,1.6689,nan,1.5682
606,W,0.1667,1.3379,1.8128,nan,1.7035
607,W,0.4463,1.6015,2.3847,nan,2.2409
608,J,1.0061,1.3278,1.8062,1.0,1.6973
609,J,1.1175,1.0937,1.6300,1.0,1.5317
610,J,0.8624,1.1393,1.7102,1.0,1.6071
611,J,0.8304,1.3845,1.8772,1.0,1.7640
612,J,0.9199,1.2076,1.2952,1.0,1.2171
613,J,0.8557,1.6169,1.2043,1.0,1.1317
614,J,0.8413,1.3550,0.9256,1.0,0.8698
615,J,0.9591,1.2672,1.5695,1.0,1.4748
616,W,0.0574,1.0161,1.3222,nan,1.2425
617,W,0.2915,1.3290,1.6525,nan,1.5529
618,W,0.4096,1.5018,1.8517,nan,1.7400
619,W,0.3850,1.3764,1.6361,nan,1.5375
620,W,0.3396,1.5729,1.5824,nan,1.4870
621,W,0.2955,2.1433,1.9587,nan,1.8406
622,W,0.2711,2.2172,2.1555,nan,2.0255
623,W,0.1600,1.7592,1.7441,nan,1.6389
624,L,-0.7597,0.5017,0.9383,1.0,0.8818
625,L,-0.7893,0.1466,0.5665,1.0,0.5323
626,L,-0.6424,0.1617,0.4597,1.0,0.4320
627,L,-0.5355,0.1448,0.3043,1.0,0.2859
628,L,-0.3007,0.1856,0.1762,1.0,0.1656
629,L,-0.1577,0.2002,0.0485,1.0,0.0456
630,L,0.0188,0.2434,-0.0524,1.0,-0.0492
631,L,0.3007,0.3115,-0.1078,0.0,-0.1013
632,W,0.3453,0.8867,0.7544,nan,0.7089
633,W,0.3575,2.0781,1.6321,nan,1.5337
634,W,0.3319,2.1167,1.8615,nan,1.7493
635,W,0.2102,3.3646,2.2631,nan,2.1266
636,W,0.4801,3.1573,2.4441,nan,2.2967
637,W,0.2009,3.0698,2.4237,nan,2.2776
638,W,0.3147,2.5254,2.0689,nan,1.9441
